ScreenID,ModelID
SC-000775.AV01,ACH-000775
SC-000776.AV01,ACH-000776
SC-000777.AV01,ACH-000777
SC-000778.AV01,ACH-000778
SC-000781.AV01,ACH-000781
SC-000782.AV01,ACH-000782
SC-000783.AV01,ACH-000783
SC-000784.AV01,ACH-000784
SC-000785.AV01,ACH-000785
SC-000787.AV01,ACH-000787
SC-000788.AV01,ACH-000788
SC-000790.AV01,ACH-000790
SC-000791.AV01,ACH-000791
SC-000792.AV01,ACH-000792
SC-000793.AV01,ACH-000793
SC-000794.AV01,ACH-000794
SC-000796.AV01,ACH-000796
SC-000798.AV01,ACH-000798
SC-000799.AV01,ACH-000799
SC-000800.AV01,ACH-000800
SC-000801.AV01,ACH-000801
SC-000802.AV01,ACH-000802
SC-000804.AV01,ACH-000804
SC-000805.AV01,ACH-000805
SC-000807.AV01,ACH-000807
SC-000809.AV01,ACH-000809
SC-000810.AV01,ACH-000810
SC-000811.AV01,ACH-000811
SC-000817.AV01,ACH-000817
SC-000819.AV01,ACH-000819
SC-000820.AV01,ACH-000820
SC-000821.AV01,ACH-000821
SC-000822.AV01,ACH-000822
SC-000823.AV01,ACH-000823
SC-000824.AV01,ACH-000824
SC-000826.AV02,ACH-000826
SC-000827.AV01,ACH-000827
SC-000829.AV01,ACH-000829
SC-000831.AV01,ACH-000831
SC-000832.AV01,ACH-000832
SC-000833.AV01,ACH-000833
SC-000834.AV01,ACH-000834
SC-000835.AV01,ACH-000835
SC-000836.AV01,ACH-000836
SC-000837.AV01,ACH-000837
SC-000838.AV01,ACH-000838
SC-000839.AV01,ACH-000839
SC-000840.AV01,ACH-000840
SC-000841.AV01,ACH-000841
SC-000843.AV01,ACH-000843
SC-000845.AV01,ACH-000845
SC-000846.AV01,ACH-000846
SC-000847.AV01,ACH-000847
SC-000848.AV01,ACH-000848
SC-000849.AV01,ACH-000849
SC-000851.AV01,ACH-000851
SC-000853.AV01,ACH-000853
SC-000855.AV01,ACH-000855
SC-000856.AV01,ACH-000856
SC-000858.AV01,ACH-000858
SC-000859.AV01,ACH-000859
SC-000860.AV01,ACH-000860
SC-000861.AV01,ACH-000861
SC-000862.AV01,ACH-000862
SC-000865.AV01,ACH-000865
SC-000866.AV01,ACH-000866
SC-000867.AV01,ACH-000867
SC-000869.AV01,ACH-000869
SC-000871.AV01,ACH-000871
SC-000872.AV01,ACH-000872
SC-000873.AV01,ACH-000873
SC-000876.AV01,ACH-000876
SC-000878.AV01,ACH-000878
SC-000880.AV01,ACH-000880
SC-000881.AV01,ACH-000881
SC-000882.AV01,ACH-000882
SC-000884.AV01,ACH-000884
SC-000885.AV01,ACH-000885
SC-000886.AV01,ACH-000886
SC-000887.AV01,ACH-000887
SC-000888.AV02,ACH-000888
SC-000889.AV01,ACH-000889
SC-000890.AV01,ACH-000890
SC-000896.AV01,ACH-000896
SC-000898.AV01,ACH-000898
SC-000899.AV02,ACH-000899
SC-000900.AV01,ACH-000900
SC-000901.AV01,ACH-000901
SC-000903.AV01,ACH-000903
SC-000905.AV01,ACH-000905
SC-000906.AV01,ACH-000906
SC-000907.AV01,ACH-000907
SC-000910.AV01,ACH-000910
SC-000911.AV01,ACH-000911
SC-000912.AV01,ACH-000912
SC-000913.AV01,ACH-000913
SC-000914.AV01,ACH-000914
SC-000915.AV01,ACH-000915
SC-000916.AV01,ACH-000916
SC-000917.AV01,ACH-000917
SC-000919.AV02,ACH-000919
SC-000920.AV01,ACH-000920
SC-000922.AV01,ACH-000922
SC-000924.AV01,ACH-000924
SC-000926.AV01,ACH-000926
SC-000928.AV01,ACH-000928
SC-000929.AV01,ACH-000929
SC-000932.AV01,ACH-000932
SC-000935.AV01,ACH-000935
SC-000936.AV01,ACH-000936
SC-000937.AV01,ACH-000937
SC-000938.AV01,ACH-000938
SC-000939.AV01,ACH-000939
SC-000941.AV01,ACH-000941
SC-000943.AV01,ACH-000943
SC-000944.AV01,ACH-000944
SC-000946.AV01,ACH-000946
SC-000947.AV01,ACH-000947
SC-000948.AV02,ACH-000948
SC-000950.AV01,ACH-000950
SC-000953.AV01,ACH-000953
SC-000957.AV01,ACH-000957
SC-000958.AV01,ACH-000958
SC-000959.AV02,ACH-000959
SC-000960.AV01,ACH-000960
SC-000961.AV02,ACH-000961
SC-000963.AV01,ACH-000963
SC-000965.AV01,ACH-000965
SC-000968.AV01,ACH-000968
SC-000969.AV01,ACH-000969
SC-000972.AV01,ACH-000972
SC-000973.AV01,ACH-000973
SC-000974.AV01,ACH-000974
SC-000975.AV01,ACH-000975
SC-000976.AV01,ACH-000976
SC-000977.AV01,ACH-000977
SC-000978.AV01,ACH-000978
SC-000980.AV01,ACH-000980
SC-000983.AV01,ACH-000983
SC-000984.AV01,ACH-000984
SC-000986.AV01,ACH-000986
SC-000988.AV01,ACH-000988
SC-000993.AV01,ACH-000993
SC-000994.AV01,ACH-000994
SC-000995.AV01,ACH-000995
SC-000996.AV01,ACH-000996
SC-001001.AV01,ACH-001001
SC-001020.AV01,ACH-001020
SC-001028.AV01,ACH-001028
SC-001029.AV02,ACH-001029
SC-001031.AV01,ACH-001031
SC-001033.AV01,ACH-001033
SC-001036.AV01,ACH-001036
SC-001038.AV01,ACH-001038
SC-001048.AV01,ACH-001048
SC-001050.AV01,ACH-001050
SC-001053.AV01,ACH-001053
SC-001054.AV01,ACH-001054
SC-001061.AV01,ACH-001061
SC-001067.AV01,ACH-001067
SC-001075.AV01,ACH-001075
SC-001096.AV01,ACH-001096
SC-001098.AV01,ACH-001098
SC-001099.AV01,ACH-001099
SC-001111.AV01,ACH-001111
SC-001119.AV01,ACH-001119
SC-001128.AV01,ACH-001128
SC-001129.AV01,ACH-001129
SC-001134.AV01,ACH-001134
SC-001145.AV01,ACH-001145
SC-001151.AV01,ACH-001151
SC-001163.AV01,ACH-001163
SC-001164.AV01,ACH-001164
SC-001172.AV01,ACH-001172
SC-001183.AV01,ACH-001183
SC-001184.AV01,ACH-001184
SC-001188.AV01,ACH-001188
SC-001190.AV01,ACH-001190
SC-001192.AV01,ACH-001192
SC-001193.AV01,ACH-001193
SC-001194.AV01,ACH-001194
SC-001196.AV01,ACH-001196
SC-001197.AV01,ACH-001197
SC-001205.AV01,ACH-001205
SC-001211.AV01,ACH-001211
SC-001228.AV01,ACH-001228
SC-001229.AV01,ACH-001229
SC-001232.AV01,ACH-001232
SC-001239.AV01,ACH-001239
SC-001270.AV01,ACH-001270
SC-001274.AV01,ACH-001274
SC-001275.AV01,ACH-001275
SC-001277.AV01,ACH-001277
SC-001278.AV01,ACH-001278
SC-001279.AV02,ACH-001279
SC-001280.AV01,ACH-001280
SC-001283.AV01,ACH-001283
SC-001289.AV01,ACH-001289
SC-001295.AV01,ACH-001295
SC-001300.AV01,ACH-001300
SC-001301.AV01,ACH-001301
SC-001302.AV01,ACH-001302
SC-001303.AV01,ACH-001303
SC-001306.AV01,ACH-001306
SC-001307.AV01,ACH-001307
SC-001310.AV01,ACH-001310
SC-001318.AV01,ACH-001318
SC-001322.AV01,ACH-001322
SC-001328.AV01,ACH-001328
SC-001329.AV01,ACH-001329
SC-001332.AV01,ACH-001332
SC-001333.AV01,ACH-001333
SC-001334.AV01,ACH-001334
SC-001335.AV01,ACH-001335
SC-001336.AV01,ACH-001336
SC-001338.AV01,ACH-001338
SC-001340.AV01,ACH-001340
SC-001341.AV01,ACH-001341
SC-001344.AV01,ACH-001344
SC-001345.AV01,ACH-001345
SC-001346.AV01,ACH-001346
SC-001347.AV01,ACH-001347
SC-001353.AV01,ACH-001353
SC-001354.AV01,ACH-001354
SC-001356.AV01,ACH-001356
SC-001360.AV01,ACH-001360
SC-001366.AV01,ACH-001366
SC-001367.AV01,ACH-001367
SC-001368.AV01,ACH-001368
SC-001370.AV01,ACH-001370
SC-001374.AV01,ACH-001374
SC-001375.AV01,ACH-001375
SC-001377.AV01,ACH-001377
SC-001379.AV01,ACH-001379
SC-001380.AV01,ACH-001380
SC-001382.AV01,ACH-001382
SC-001385.AV01,ACH-001385
SC-001386.AV01,ACH-001386
SC-001388.AV01,ACH-001388
SC-001389.AV01,ACH-001389
SC-001390.AV01,ACH-001390
SC-001391.AV01,ACH-001391
